,usim,manufacturer,latitude,longitude,address,facility_type,floor,notice,geometry,sigungu
2690,01232973108,엔티모아,34.478,127.798,서고지길 37,SKT2,[지상] 1/1층,서고지출장소,POINT (1027364.5964271299 1609383.0018428615),0
2691,01232971887,엔티모아,34.638,127.723,평사로 99,SKT1,[지상] 1/1층,금천출장소,POINT (1020438.3484961928 1627107.4253480088),0
2692,01232972279,엔티모아,36.008,126.663,장산로20-16,SKT1,[지상] 1/2층,장항파출소,POINT (924569.9638546805 1779344.6705531487),서천군
2693,01232971805,엔티모아,38.122,128.631,낙산사로54-16,SKT1,[지상] 1/1층,낙산파출소,POINT (1099135.5951982068 2014140.374282721),양양군
2694,01232972253,엔티모아,34.334,127.075,전남 완도군 금일읍 사동리 43-10,SKT1,[지상] 1/1층,,POINT (960906.3170380598 1593457.0025328195),0
2695,01232973687,엔티모아,35.449,126.426,전북 고창군 상하면 자룡리 969,SKT1,[지상] 1/2층,고창파출소,POINT (902532.1965341708 1717552.1378026167),0
2696,01232972423,엔티모아,34.366,126.136,진도 서망항길 53,SKT1,[지상] 1/2층,진도해경파출소,POINT (874576.0253573847 1597766.3488102579),0
2697,01232973588,엔티모아,35.624,126.47,방파제길39,SKT1,[지상] 1/1층,부안해양경찰서 변산파출소,POINT (906728.2600420977 1736919.1948586716),부안군
2698,01232973704,엔티모아,34.379,126.306,전남 진도군 의신면 수품길 67,SKT1,[지상] 1/1층,수품출장소,POINT (890225.8956856515 1599010.9464594645),진도군
2699,01232971933,엔티모아,34.448,126.927,전남 장흥군 회진면 진목리 195-43,SKT1,[지상] 1/1층,삭금출장소,POINT (947363.7813302384 1606165.0094320206),0
2700,01232973375,엔티모아,36.961,126.333,충남 서산시 대산읍 오지리 338-45,SKT1,[지상] 1/1층,벌말출장소,POINT (896109.913164002 1885367.173235937),서산시
2701,01232971864,엔티모아,36.509,129.447,축산항5길24,SKT1,[지상] 1/1층,울진해양경찰서 축산파출소,POINT (1174353.8088119482 1836354.2521238457),영덕군
2702,01232971820,엔티모아,37.192,126.646,대부황금로5-8,SKT2,[지상] 1/2층,대부파출소,POINT (924205.1595228354 1910698.34896234),안산시 단원구
2703,01232971635,엔티모아,37.186,126.652,경기 화성시 서신면 전곡리 974,SKT1,[지상] 1/1층,전곡출장소,POINT (924731.7312882281 1910027.9268162907),화성시
