usim	manufacturer	latitude	longitude	address	facility_type	floor	notice
01231322627 (2195)	엔티모아	37.498	127.964	강원 횡성군 횡성읍 학곡리 367	SKT1	[지상] 1/1층	우측 벽면 상단 컨테이너국소
01231322685 (2196)	엔티모아	37.215	128.643	강원 정선군 신동읍 예미리 716-2	SKT2	[지상] 1/1층	컨테이너기지국 / 출입문 좌촉벽면 축전지 뒤 콘센트
01231300145 (2197)	우리넷	37.128	128.12	충북 제천시 봉양읍 주포리 260-144	SKT2	[지상] 1/1층	봉양기지국 벽면
01231322554 (2198)	엔티모아	37.49	128.25	강원 횡성군 둔내면 두원리 204	SKT2	[지상] 1/1층	컨테이너 국소로 자연공조 벽면(둔내기지국)
01231322814 (2200)	엔티모아	37.704	128.445	강원 평창군 용평면 노동리 산 1-2	SKT1	[지상] 1/1층	컨테이너 안 배터리 옆
01231300225 (2201)	우리넷	37.126	128.284	충북 제천시 두학동 5-8	SKT2	[지상] 1/1층	상풍 기지국
01227729734 (2202)	우리넷	37.187	128.297	충북 제천시 송학면 시곡리 산 13-1	SKT1	[지상] 1/1층	송학 기지국
01231322742 (2203)	엔티모아	37.733	128.36	강원 홍천군 내면 자운리 1170-1	SKT2	[지상] 1/1층	컨테이너 안 접지 밑
01227587994 (2204)	우리넷	37.207	128.241	충북 제천시 송학면 포전리 산 41-2	SKT1	[지상] 1/1층	송한2 기지국
01231322353 (2205)	엔티모아	37.363	128.274	강원 영월군 무릉도원면 법흥리 173	SKT1	[지상] 1/1층	컨테이너국소 출입문 오른쪽 벽면설치
01231322152 (2206)	엔티모아	37.29	128.242	강원 영월군 무릉도원면 도원리 571-1	SKT1	[지상] 1/1층	컨테이너국소 출입문 우측벽면 설치
01231322228 (2207)	엔티모아	37.312	128.189	강원 영월군 무릉도원면 두산리 76-1	SKT2	[지상] 1/1층	컨테이너국소 출입문 오른쪽 벽면 설치
01231322355 (2208)	엔티모아	37.235	127.796	강원 원주시 부론면 손곡리 986-8	SKT1	[지상] 1/1층	컨테이너 내부 벽면
01231322820 (2209)	엔티모아	37.181	127.768	강원 원주시 부론면 정산리 산 242-2	SKT1	[지상] 1/1층	컨테이너 분전함 옆
01231321885 (2210)	엔티모아	37.525	128.037	강원 횡성군 횡성읍 옥동리 39-1	SKT1	[지상] 1/1층	컨테이너형 기지국 축전지 옆 설치
01231322845 (2211)	엔티모아	37.244	127.761	강원 원주시 부론면 흥호리 603-9	SKT1	[지상] 1/1층	원주흥호기지국
01231322383 (2213)	엔티모아	37.353	127.799	강원 원주시 지정면 안창리 624-1	SKT1	[지상] 1/1층	원주안창기지국
01231322665 (2215)	엔티모아	37.297	127.803	강원 원주시 문막읍 반계리 5-2	SKT1	[지상] 1/1층	원주문막2기지국
